! $Id: diverse_52profiles_101L.dat,v 1.2 2003/07/23 14:10:03 paulv Exp $
! $Revision: 1.2 $
!
!  ECMWF 52 diverse profiles from 60L set 
!  Prof50 = dry test / Prof51 = moist test / Prof52 = mean 
! Number Date/Time    Lat            Long            Ps(hPa)     Land fraction
!    P(hPa)           T(degK)         Wv(kg/kg)     Ozone(kg/kg)
#01 1993091512    0.241073E+02    0.382500E+02    0.972238E+03    0.686249E+00
    0.683667E+03    0.240434E+03    0.802445E-04    0.106832E-06
    0.706565E+03    0.241372E+03    0.805211E-04    0.105667E-06
    0.729886E+03    0.242116E+03    0.787758E-04    0.104843E-06
    0.753627E+03    0.242763E+03    0.765903E-04    0.104208E-06
    0.777789E+03    0.243207E+03    0.753331E-04    0.104042E-06
    0.802371E+03    0.243505E+03    0.782456E-04    0.103945E-06
    0.827371E+03    0.243664E+03    0.831911E-04    0.103878E-06
    0.852788E+03    0.243630E+03    0.864852E-04    0.103772E-06
    0.878620E+03    0.243552E+03    0.882456E-04    0.104155E-06
    0.904866E+03    0.243524E+03    0.889164E-04    0.105458E-06
    0.931523E+03    0.243478E+03    0.913883E-04    0.107958E-06
    0.958591E+03    0.243322E+03    0.956503E-04    0.111547E-06
    0.986066E+03    0.242850E+03    0.104144E-03    0.114719E-06
    0.101395E+04    0.240650E+03    0.111845E-03    0.114782E-06
    0.104223E+04    0.238510E+03    0.123244E-03    0.118129E-06
    0.107092E+04    0.238013E+03    0.131972E-03    0.122279E-06
    0.110000E+04    0.238013E+03    0.128482E-03    0.122279E-06
#04 1993121506    0.398051E+02    0.332500E+03    0.103090E+04    0.000000E+00
    0.500000E-02    0.184739E+03    0.112627E-05    0.779570E-06
    0.161000E-01    0.200648E+03    0.348254E-05    0.835813E-06
    0.384000E-01    0.216480E+03    0.290781E-05    0.948807E-06
    0.769000E-01    0.228100E+03    0.452654E-05    0.114388E-05
    0.137000E+00    0.240167E+03    0.543233E-05    0.154681E-05
    0.224400E+00    0.244370E+03    0.503784E-05    0.199491E-05
    0.345400E+00    0.249823E+03    0.345574E-05    0.258438E-05
    0.506400E+00    0.257145E+03    0.488043E-05    0.338370E-05
    0.714000E+00    0.261646E+03    0.408402E-05    0.423713E-05
    0.975300E+00    0.264138E+03    0.336998E-05    0.524985E-05
    0.129720E+01    0.264816E+03    0.390144E-05    0.649462E-05
    0.168720E+01    0.262396E+03    0.376115E-05    0.805407E-05
    0.215260E+01    0.255258E+03    0.404047E-05    0.985644E-05
    0.270090E+01    0.250144E+03    0.279446E-05    0.112542E-04
    0.333980E+01    0.243413E+03    0.323471E-05    0.123351E-04
    0.407700E+01    0.237585E+03    0.334586E-05    0.127595E-04
    0.492040E+01    0.232057E+03    0.303140E-05    0.127193E-04
    0.587760E+01    0.227428E+03    0.307119E-05    0.123129E-04
    0.695670E+01    0.223961E+03    0.290881E-05    0.117577E-04
    0.816550E+01    0.221685E+03    0.274103E-05    0.112073E-04
    0.951190E+01    0.221042E+03    0.261369E-05    0.108250E-04
    0.110038E+02    0.219645E+03    0.252416E-05    0.104946E-04
    0.126492E+02    0.218018E+03    0.246458E-05    0.101588E-04
    0.144559E+02    0.216412E+03    0.245583E-05    0.973225E-05
    0.164318E+02    0.214201E+03    0.244833E-05    0.933911E-05
    0.185847E+02    0.211676E+03    0.244168E-05    0.897102E-05
    0.209224E+02    0.210659E+03    0.243641E-05    0.862250E-05
    0.234526E+02    0.209847E+03    0.243214E-05    0.827504E-05
    0.261829E+02    0.209256E+03    0.243966E-05    0.772878E-05
    0.291210E+02    0.208674E+03    0.244767E-05    0.717463E-05
    0.322744E+02    0.207990E+03    0.246406E-05    0.633345E-05
    0.356504E+02    0.207329E+03    0.247992E-05    0.551950E-05
    0.392566E+02    0.207087E+03    0.249577E-05    0.464505E-05
    0.431001E+02    0.206868E+03    0.251115E-05    0.379406E-05
    0.471882E+02    0.206644E+03    0.252375E-05    0.311084E-05
    0.515278E+02    0.206421E+03    0.253497E-05    0.251015E-05
    0.561259E+02    0.206211E+03    0.254262E-05    0.207560E-05
    0.609895E+02    0.206020E+03    0.254330E-05    0.196477E-05
    0.661252E+02    0.205836E+03    0.254396E-05    0.185695E-05
    0.715398E+02    0.205922E+03    0.254113E-05    0.166047E-05
    0.772395E+02    0.206033E+03    0.253803E-05    0.145970E-05
    0.832310E+02    0.205836E+03    0.253487E-05    0.124406E-05
    0.895203E+02    0.205299E+03    0.253164E-05    0.101127E-05
    0.961138E+02    0.204761E+03    0.252868E-05    0.785264E-06
    0.103017E+03    0.203544E+03    0.253549E-05    0.619650E-06
    0.110237E+03    0.202355E+03    0.254214E-05    0.457931E-06
    0.117777E+03    0.201499E+03    0.256354E-05    0.349119E-06
    0.125646E+03    0.200890E+03    0.259557E-05    0.279491E-06
    0.133846E+03    0.200285E+03    0.268766E-05    0.217304E-06
    0.142385E+03    0.199624E+03    0.320590E-05    0.197972E-06
    0.151266E+03    0.198976E+03    0.371297E-05    0.179057E-06
    0.160496E+03    0.199662E+03    0.493224E-05    0.132762E-06
    0.170078E+03    0.200936E+03    0.645546E-05    0.747738E-07
    0.180018E+03    0.202567E+03    0.852014E-05    0.347164E-07
    0.190320E+03    0.205248E+03    0.121559E-04    0.426140E-07
    0.200989E+03    0.207875E+03    0.157193E-04    0.503542E-07
    0.212028E+03    0.210642E+03    0.205110E-04    0.613338E-07
    0.223441E+03    0.213387E+03    0.254286E-04    0.726718E-07
    0.235234E+03    0.216192E+03    0.311898E-04    0.847399E-07
    0.247408E+03    0.219069E+03    0.378726E-04    0.976212E-07
    0.259969E+03    0.221894E+03    0.459245E-04    0.109704E-06
    0.272919E+03    0.224681E+03    0.648374E-04    0.117446E-06
    0.286262E+03    0.227418E+03    0.834075E-04    0.125048E-06
    0.300000E+03    0.230119E+03    0.120085E-03    0.132895E-06
    0.314137E+03    0.232776E+03    0.161086E-03    0.140706E-06
    0.328675E+03    0.235460E+03    0.207716E-03    0.147591E-06
    0.343618E+03    0.238176E+03    0.260376E-03    0.153507E-06
    0.358966E+03    0.240866E+03    0.313890E-03    0.158417E-06
    0.374724E+03    0.243591E+03    0.373346E-03    0.159717E-06
    0.390892E+03    0.246270E+03    0.431808E-03    0.160995E-06
    0.407474E+03    0.248923E+03    0.484029E-03    0.159927E-06
    0.424470E+03    0.251534E+03    0.535192E-03    0.158787E-06
    0.441882E+03    0.253940E+03    0.620059E-03    0.157708E-06
    0.459712E+03    0.256258E+03    0.714037E-03    0.156659E-06
    0.477961E+03    0.258370E+03    0.846675E-03    0.155882E-06
    0.496630E+03    0.260347E+03    0.100164E-02    0.155271E-06
